Unique_ID,Week_Number,Week_Ending ,Slip_Number,Correct_Picks,Hist_Weight,Odds_Weight,H2H_Weight,Form_Weight,Venue_Weight
2025-06-22_Slip563 ,Week 7,22/06/2025,563,14,26.23%,2.89%,40.18%,20.06%,10.64%
2025-05-25_Slip978 ,Week 4,25/05/2025,978,13,7.25%,28.46%,3.82%,21.18%,39.29%
2025-06-15_Slip616 ,Week 6,15/06/2025,616,13,7.53%,11.73%,10.05%,15.46%,55.23%
2025-05-05_Slip84 ,Week 1,05/05/2025,84,12,1.68%,28.12%,35.63%,12.10%,22.47%
2025-05-18_Slip289 ,Week 3,18/05/2025,289,12,1.36%,2.99%,7.34%,74.23%,14.08%
2025-05-18_Slip324 ,Week 3,18/05/2025,324,12,35.64%,21.85%,9.73%,20.01%,12.77%
2025-05-18_Slip614 ,Week 3,18/05/2025,614,12,11.10%,17.89%,50.52%,19.03%,1.46%
2025-05-18_Slip689 ,Week 3,18/05/2025,689,12,30.44%,14.89%,7.85%,3.25%,43.57%
2025-05-18_Slip751 ,Week 3,18/05/2025,751,12,39.33%,5.22%,30.53%,21.60%,3.33%
2025-05-25_Slip467 ,Week 4,25/05/2025,467,12,1.88%,57.13%,8.47%,17.86%,14.65%
2025-05-25_Slip248 ,Week 4,25/05/2025,248,12,5.98%,55.64%,17.06%,18.49%,2.82%
2025-06-15_Slip261 ,Week 6,15/06/2025,261,12,3.96%,0.49%,20.36%,25.51%,49.68%
2025-06-15_Slip154 ,Week 6,15/06/2025,154,12,9.95%,27.93%,0.46%,0.98%,60.68%
2025-05-05_Slip308 ,Week 1,05/05/2025,308,11,9.41%,39.80%,20.60%,22.88%,7.32%
2025-05-05_Slip412 ,Week 1,05/05/2025,412,11,1.43%,16.82%,50.97%,22.12%,8.66%
2025-05-05_Slip421 ,Week 1,05/05/2025,421,11,7.01%,40.76%,15.96%,34.83%,1.44%
2025-05-05_Slip426 ,Week 1,05/05/2025,426,11,65.66%,9.28%,13.85%,1.22%,9.99%
2025-05-12_Slip649 ,Week 2,12/05/2025,649,11,49.15%,1.15%,37.88%,8.51%,3.32%
2025-05-12_Slip900 ,Week 2,12/05/2025,900,11,26.61%,8.23%,49.69%,2.84%,12.63%
2025-05-25_Slip891 ,Week 4,25/05/2025,891,11,2.34%,18.60%,54.85%,22.98%,1.23%
2025-05-25_Slip19 ,Week 4,25/05/2025,19,11,8.70%,19.12%,4.41%,39.85%,27.91%
2025-06-08_Slip5 ,Week 5,08/06/2025,5,11,35.02%,44.26%,8.15%,11.13%,1.43%
2025-06-08_Slip35 ,Week 5,08/06/2025,35,11,36.57%,3.62%,9.26%,23.76%,26.79%
2025-06-08_Slip65 ,Week 5,08/06/2025,65,11,52.86%,9.98%,10.41%,12.29%,14.46%
2025-06-08_Slip166 ,Week 5,08/06/2025,166,11,23.00%,45.02%,13.12%,7.25%,11.61%
2025-06-08_Slip231 ,Week 5,08/06/2025,231,11,8.04%,60.28%,25.70%,2.33%,3.65%
2025-06-15_Slip128 ,Week 6,15/06/2025,128,11,25.85%,1.75%,23.98%,14.30%,34.13%
2025-06-15_Slip275 ,Week 6,15/06/2025,275,11,10.96%,17.99%,23.93%,6.68%,40.44%
2025-06-22_Slip70 ,Week 7,22/06/2025,70,11,28.82%,1.49%,42.24%,17.89%,9.57%
2025-06-22_Slip118 ,Week 7,22/06/2025,118,11,3.42%,74.44%,10.44%,10.31%,1.39%
2025-06-22_Slip201 ,Week 7,22/06/2025,201,11,30.07%,13.91%,37.59%,8.06%,10.37%
2025-06-22_Slip518 ,Week 7,22/06/2025,518,11,14.73%,5.64%,23.20%,36.43%,19.99%
2025-05-12_Slip454 ,Week 2,12/05/2025,454,10,2.60%,63.71%,0.81%,11.77%,21.11%
2025-05-12_Slip15 ,Week 2,12/05/2025,15,10,21.36%,38.83%,25.08%,7.59%,7.14%
2025-05-12_Slip736 ,Week 2,12/05/2025,736,10,16.80%,22.83%,15.07%,12.84%,32.46%
